,code,name,year,report_date,divi,shares
0,300427,红相电力,2014,2015-07-01,1.8,0.0
1,002762,金发拉比,2014,2015-06-15,2.5,7.5
2,600371,万向德农,2014,2015-06-13,0.4,0.0
3,002755,东方新星,2014,2015-06-10,0.8,0.0
4,002759,天际股份,2014,2015-06-09,1.1,0.0
5,600256,广汇能源,2014,2015-06-09,0.5,0.0
6,300470,日机密封,2014,2015-06-06,4.5,0.0
7,300459,金科娱乐,2014,2015-06-06,1.0,0.0
8,002751,易尚展示,2014,2015-06-03,1.0,0.0
9,601689,拓普集团,2014,2015-05-30,1.9,0.0
10,603355,莱克电气,2014,2015-05-29,1.8,0.0
11,603808,歌力思,2014,2015-05-22,2.5,0.0
12,300422,博世科,2014,2015-05-18,0.6,0.0
13,300441,鲍斯股份,2014,2015-05-15,1.0,0.0
14,300449,汉邦高科,2014,2015-05-14,1.0,0.0
15,002748,世龙实业,2014,2015-05-07,1.5,0.0
16,300445,康斯特,2014,2015-05-07,1.5,0.0
17,603025,大豪科技,2014,2015-05-01,3.4,0.0
18,603010,万盛股份,2014,2015-04-30,1.3,0.0
19,603869,北部湾旅,2014,2015-04-30,0.8,0.0
20,603729,龙韵股份,2014,2015-04-30,1.3,0.0
21,601616,广电电气,2014,2015-04-30,0.5,0.0
22,601933,永辉超市,2014,2015-04-30,1.5,0.0
23,601989,中国重工,2014,2015-04-30,0.4,0.0
24,002228,合兴包装,2014,2015-04-30,1.0,0.0
25,601001,大同煤业,2014,2015-04-30,0.3,0.0
26,002022,科华生物,2014,2015-04-30,2.0,0.0
27,600900,长江电力,2014,2015-04-30,3.8,0.0
28,600020,中原高速,2014,2015-04-30,1.2,0.0
29,600485,信威集团,2014,2015-04-30,0.1,0.0
30,600562,国睿科技,2014,2015-04-30,1.7,0.0
31,000899,赣能股份,2014,2015-04-30,1.0,0.0
32,000876,新希望,2014,2015-04-30,2.5,0.0
33,000809,铁岭新城,2014,2015-04-30,1.0,5.0
34,000760,斯太尔,2014,2015-04-30,0.0,4.0
35,000723,美锦能源,2014,2015-04-30,0.1,0.0
36,000599,青岛双星,2014,2015-04-30,0.1,0.0
37,600851,海欣股份,2014,2015-04-30,1.0,0.0
38,600811,东方集团,2014,2015-04-30,0.3,0.0
39,600783,鲁信创投,2014,2015-04-30,1.5,0.0
40,000426,兴业矿业,2014,2015-04-30,0.2,0.0
41,000096,广聚能源,2014,2015-04-30,0.2,0.0
42,000089,深圳机场,2014,2015-04-30,0.3,0.0
43,000061,农产品,2014,2015-04-30,0.5,0.0
44,600895,张江高科,2014,2015-04-30,0.9,0.0
45,600648,外高桥,2014,2015-04-30,1.9,0.0
46,600626,申达股份,2014,2015-04-30,1.0,0.0
47,600613,神奇制药,2014,2015-04-30,0.7,4.0
48,600567,山鹰纸业,2014,2015-04-30,0.1,0.0
49,600501,航天晨光,2014,2015-04-30,0.7,0.0
50,600500,中化国际,2014,2015-04-30,1.3,0.0
51,600466,蓝光发展,2014,2015-04-30,0.1,0.0
52,600360,华微电子,2014,2015-04-30,0.2,0.0
53,600356,恒丰纸业,2014,2015-04-30,1.0,0.0
54,600345,长江通信,2014,2015-04-30,1.0,0.0
55,600177,雅戈尔,2014,2015-04-30,5.0,0.0
56,600128,弘业股份,2014,2015-04-30,1.0,0.0
57,600097,开创国际,2014,2015-04-30,1.6,0.0
58,600072,中船科技,2014,2015-04-30,0.1,0.0
59,603308,应流股份,2014,2015-04-29,0.5,0.0
60,002730,电光科技,2014,2015-04-29,1.3,0.0
61,002666,德联集团,2014,2015-04-29,1.2,10.0
62,002634,棒杰股份,2014,2015-04-29,2.0,0.0
63,002552,宝鼎科技,2014,2015-04-29,0.2,0.0
64,002486,嘉麟杰,2014,2015-04-29,0.1,0.0
65,002481,双塔食品,2014,2015-04-29,0.3,0.0
66,002440,闰土股份,2014,2015-04-29,5.5,0.0
67,601106,中国一重,2014,2015-04-29,0.0,0.0
68,002375,亚厦股份,2014,2015-04-29,1.1,5.0
69,002549,凯美特气,2014,2015-04-29,0.0,4.0
70,002352,顺丰控股,2014,2015-04-29,0.0,5.0
71,002504,弘高创意,2014,2015-04-29,1.0,0.0
72,002266,浙富控股,2014,2015-04-29,0.2,3.0
73,601216,君正集团,2014,2015-04-29,0.4,8.0
74,002251,步步高,2014,2015-04-29,2.0,1.0
75,002244,滨江集团,2014,2015-04-29,0.6,10.0
76,002346,柘中股份,2014,2015-04-29,0.5,0.0
77,002204,大连重工,2014,2015-04-29,0.2,0.0
78,002190,成飞集成,2014,2015-04-29,0.7,0.0
79,002304,洋河股份,2014,2015-04-29,20.0,4.0
80,002288,超华科技,2014,2015-04-29,0.1,10.0
81,002177,御银股份,2014,2015-04-29,0.3,0.0
82,002254,泰和新材,2014,2015-04-29,0.6,2.0
83,002157,正邦科技,2014,2015-04-29,0.2,0.0
84,002126,银轮股份,2014,2015-04-29,0.5,0.0
85,601003,柳钢股份,2014,2015-04-29,0.3,0.0
86,002111,威海广泰,2014,2015-04-29,0.8,0.0
87,002097,山河智能,2014,2015-04-29,0.3,5.0
88,002095,生意宝,2014,2015-04-29,0.5,2.0
89,601006,大秦铁路,2014,2015-04-29,4.8,0.0
90,002065,东华软件,2014,2015-04-29,1.5,0.0
91,002054,德美化工,2014,2015-04-29,1.2,3.0
92,002694,顾地科技,2014,2015-04-29,1.5,0.0
93,002347,泰尔股份,2014,2015-04-29,0.3,0.0
94,601199,江南水务,2014,2015-04-29,2.3,0.0
95,002167,东方锆业,2014,2015-04-29,0.0,5.0
96,002110,三钢闽光,2014,2015-04-29,0.1,0.0
97,002736,国信证券,2014,2015-04-29,2.0,0.0
98,002046,轴研科技,2014,2015-04-29,0.1,0.0
99,002005,德豪润达,2014,2015-04-29,0.3,0.0
100,600594,益佰制药,2014,2015-04-29,1.2,10.0
101,600479,千金药业,2014,2015-04-29,2.0,0.0
102,000979,中弘股份,2014,2015-04-29,0.1,6.0
103,000937,冀中能源,2014,2015-04-29,1.0,3.0
104,000917,电广传媒,2014,2015-04-29,0.6,0.0
105,000909,数源科技,2014,2015-04-29,1.0,0.0
106,000883,湖北能源,2014,2015-04-29,0.5,0.0
107,000863,三湘印象,2014,2015-04-29,1.0,0.0
108,000861,海印股份,2014,2015-04-29,0.4,0.0
109,000679,大连友谊,2014,2015-04-29,0.5,0.0
110,000630,铜陵有色,2014,2015-04-29,0.5,10.0
111,000596,古井贡酒,2014,2015-04-29,2.0,0.0
112,000560,昆百大A,2014,2015-04-29,0.3,0.0
113,600838,上海九百,2014,2015-04-29,0.3,0.0
114,000030,富奥股份,2014,2015-04-29,1.0,0.0
115,000009,中国宝安,2014,2015-04-29,0.2,0.0
116,600642,申能股份,2014,2015-04-29,2.0,0.0
117,600638,新黄浦,2014,2015-04-29,1.0,0.0
118,600630,龙头股份,2014,2015-04-29,0.5,0.0
119,600509,天富能源,2014,2015-04-29,1.2,0.0
120,600418,江淮汽车,2014,2015-04-29,1.1,0.0
121,600280,中央商场,2014,2015-04-29,2.5,10.0
122,600148,长春一东,2014,2015-04-29,0.8,0.0
123,603519,立霸股份,2014,2015-04-28,1.4,0.0
124,002729,好利来,2014,2015-04-28,2.0,0.0
125,002718,友邦吊顶,2014,2015-04-28,5.0,6.0
126,002646,青青稞酒,2014,2015-04-28,2.5,0.0
127,002639,雪人股份,2014,2015-04-28,0.2,0.0
128,002627,宜昌交运,2014,2015-04-28,2.0,0.0
129,002585,双星新材,2014,2015-04-28,0.3,3.0
130,300186,大华农,2014,2015-04-28,3.0,0.0
131,002551,尚荣医疗,2014,2015-04-28,1.0,2.0
132,601890,亚星锚链,2014,2015-04-28,0.5,10.5
133,603167,渤海轮渡,2014,2015-04-28,1.5,0.0
134,601567,三星医疗,2014,2015-04-28,1.0,15.0
135,002483,润邦股份,2014,2015-04-28,0.5,0.0
136,300102,乾照光电,2014,2015-04-28,0.4,10.0
137,601718,际华集团,2014,2015-04-28,0.5,0.0
138,601188,龙江交通,2014,2015-04-28,0.7,0.0
139,002399,海普瑞,2014,2015-04-28,3.0,0.0
140,002373,千方科技,2014,2015-04-28,1.0,0.0
141,002325,洪涛股份,2014,2015-04-28,0.5,2.5
142,002311,海大集团,2014,2015-04-28,1.5,4.0
143,002591,恒大高新,2014,2015-04-28,0.1,0.0
144,002286,保龄宝,2014,2015-04-28,0.3,0.0
145,002446,盛路通信,2014,2015-04-28,0.1,12.0
146,002271,东方雨虹,2014,2015-04-28,2.0,10.0
147,002231,奥维通信,2014,2015-04-28,0.1,0.0
148,002212,南洋股份,2014,2015-04-28,0.2,0.0
149,002193,山东如意,2014,2015-04-28,0.1,0.0
150,002133,广宇集团,2014,2015-04-28,0.8,0.0
151,002121,科陆电子,2014,2015-04-28,0.3,0.0
152,601002,晋亿实业,2014,2015-04-28,1.0,0.0
153,002104,恒宝股份,2014,2015-04-28,1.0,0.0
154,002083,孚日股份,2014,2015-04-28,1.0,0.0
155,002092,中泰化学,2014,2015-04-28,0.3,0.0
156,002081,金螳螂,2014,2015-04-28,1.0,0.0
157,002263,大东南,2014,2015-04-28,0.0,1.0
158,603199,九华旅游,2014,2015-04-28,1.2,0.0
159,002142,宁波银行,2014,2015-04-28,4.5,2.0
160,002275,桂林三金,2014,2015-04-28,6.0,0.0
161,002267,陕天然气,2014,2015-04-28,1.5,0.0
162,601169,北京银行,2014,2015-04-28,2.5,2.0
163,601166,兴业银行,2014,2015-04-28,5.7,0.0
164,002038,双鹭药业,2014,2015-04-28,3.0,5.0
165,002037,久联发展,2014,2015-04-28,1.5,0.0
166,002002,鸿达兴业,2014,2015-04-28,2.0,0.0
167,600387,海越股份,2014,2015-04-28,1.0,0.0
168,600527,江南高纤,2014,2015-04-28,0.9,0.0
169,600409,三友化工,2014,2015-04-28,0.8,0.0
170,000998,隆平高科,2014,2015-04-28,0.5,0.0
171,000882,华联股份,2014,2015-04-28,0.3,0.0
172,000869,张裕A,2014,2015-04-28,4.4,0.0
173,000801,四川九洲,2014,2015-04-28,0.6,0.0
174,000651,格力电器,2014,2015-04-28,30.0,10.0
175,000616,海航投资,2014,2015-04-28,0.2,0.0
176,000564,供销大集,2014,2015-04-28,0.3,0.0
177,000538,云南白药,2014,2015-04-28,5.0,0.0
178,000517,荣安地产,2014,2015-04-28,1.0,0.0
179,600863,内蒙华电,2014,2015-04-28,1.8,0.0
180,600855,航天长峰,2014,2015-04-28,0.2,0.0
181,600780,通宝能源,2014,2015-04-28,1.5,0.0
182,600776,东方通信,2014,2015-04-28,0.6,0.0
183,000415,渤海金控,2014,2015-04-28,1.0,10.0
184,600619,海立股份,2014,2015-04-28,1.0,0.0
185,600612,老凤祥,2014,2015-04-28,9.0,0.0
186,600601,方正科技,2014,2015-04-28,0.1,0.0
187,600589,广东榕泰,2014,2015-04-28,0.2,0.0
188,600523,贵航股份,2014,2015-04-28,1.5,0.0
189,600369,西南证券,2014,2015-04-28,1.8,0.0
190,600361,华联综超,2014,2015-04-28,1.0,0.0
191,600321,国栋建设,2014,2015-04-28,0.1,0.0
192,600239,云南城投,2014,2015-04-28,0.6,3.0
193,600215,长春经开,2014,2015-04-28,0.1,0.0
194,600199,金种子酒,2014,2015-04-28,0.5,0.0
195,600197,伊力特,2014,2015-04-28,2.3,0.0
196,600191,华资实业,2014,2015-04-28,0.1,0.0
197,600190,锦州港,2014,2015-04-28,0.3,0.0
198,600157,永泰能源,2014,2015-04-28,0.2,3.0
199,600106,重庆路桥,2014,2015-04-28,0.8,0.0
200,600100,同方股份,2014,2015-04-28,0.8,0.0
201,600088,中视传媒,2014,2015-04-28,0.5,0.0
202,300575,中旗股份,2014,2015-04-27,2.0,0.0
203,300607,拓斯达,2014,2015-04-27,1.8,0.0
204,603030,全筑股份,2014,2015-04-27,0.5,0.0
205,002714,牧原股份,2014,2015-04-27,0.6,10.0
206,603020,爱普股份,2014,2015-04-27,3.0,0.0
207,300397,天和防务,2014,2015-04-27,1.3,0.0
208,300429,强力新材,2014,2015-04-27,2.6,0.0
209,002150,通润装备,2014,2015-04-27,1.0,0.0
210,002705,新宝股份,2014,2015-04-27,2.5,0.0
211,002386,天原集团,2014,2015-04-27,0.0,4.0
212,002084,海鸥卫浴,2014,2015-04-27,0.3,0.0
213,000541,佛山照明,2014,2015-04-27,2.2,6.0
214,600005,武钢股份,2014,2015-04-27,0.5,0.0
215,300374,恒通科技,2014,2015-04-25,0.3,10.0
216,300369,绿盟科技,2014,2015-04-25,2.1,15.0
217,300377,赢时胜,2014,2015-04-25,2.5,0.0
218,002711,欧浦智网,2014,2015-04-25,1.8,12.0
219,300337,银邦股份,2014,2015-04-25,0.5,0.0
220,002678,珠江钢琴,2014,2015-04-25,0.7,0.0
221,300308,中际装备,2014,2015-04-25,0.1,0.0
222,603588,高能环境,2014,2015-04-25,1.0,0.0
223,603001,奥康国际,2014,2015-04-25,5.0,0.0
224,002731,萃华珠宝,2014,2015-04-25,0.6,0.0
225,002623,亚玛顿,2014,2015-04-25,0.3,0.0
226,300270,中威电子,2014,2015-04-25,0.5,12.0
227,300362,天翔环境,2014,2015-04-25,0.6,0.0
228,002620,瑞和股份,2014,2015-04-25,1.0,0.0
229,300230,永利股份,2014,2015-04-25,1.0,0.0
230,300217,东方电热,2014,2015-04-25,0.5,0.0
231,300219,鸿利智汇,2014,2015-04-25,0.3,0.0
232,300372,欣泰电气,2014,2015-04-25,1.1,10.0
233,300366,创意信息,2014,2015-04-25,0.8,10.0
234,300182,捷成股份,2014,2015-04-25,1.6,0.0
235,300155,安居宝,2014,2015-04-25,0.5,5.0
236,300151,昌红科技,2014,2015-04-25,0.5,15.0
237,300137,先河环保,2014,2015-04-25,0.3,0.0
238,002614,蒙发利,2014,2015-04-25,1.0,5.0
239,601208,东材科技,2014,2015-04-25,1.0,0.0
240,002435,长江润发,2014,2015-04-25,1.0,0.0
241,300063,天龙集团,2014,2015-04-25,0.2,0.0
242,601225,陕西煤业,2014,2015-04-25,0.3,0.0
243,300035,中科电气,2014,2015-04-25,1.0,0.0
244,300171,东富龙,2014,2015-04-25,5.0,10.0
245,002556,辉隆股份,2014,2015-04-25,1.0,0.0
246,002293,罗莱生活,2014,2015-04-25,10.0,15.0
247,300002,神州泰岳,2014,2015-04-25,1.2,5.0
248,002372,伟星新材,2014,2015-04-25,6.0,3.0
249,601999,出版传媒,2014,2015-04-25,0.4,0.0
250,002093,国脉科技,2014,2015-04-25,0.1,0.0
251,002077,大港股份,2014,2015-04-25,0.5,0.0
252,002057,中钢天源,2014,2015-04-25,0.1,0.0
253,002055,得润电子,2014,2015-04-25,0.5,0.0
254,603118,共进股份,2014,2015-04-25,2.3,0.0
255,600958,东方证券,2014,2015-04-25,1.5,0.0
256,600993,马应龙,2014,2015-04-25,0.4,3.0
257,600467,好当家,2014,2015-04-25,0.1,0.0
258,600489,中金黄金,2014,2015-04-25,0.1,0.0
259,000888,峨眉山A,2014,2015-04-25,1.8,10.0
260,000752,西藏发展,2014,2015-04-25,0.1,0.0
261,000733,振华科技,2014,2015-04-25,0.3,0.0
262,000700,模塑科技,2014,2015-04-25,1.3,0.0
263,001696,宗申动力,2014,2015-04-25,0.3,0.0
264,000650,仁和药业,2014,2015-04-25,0.3,2.5
265,000566,海南海药,2014,2015-04-25,0.3,0.0
266,000554,泰山石油,2014,2015-04-25,0.1,0.0
267,600887,伊利股份,2014,2015-04-25,8.0,10.0
268,600825,新华传媒,2014,2015-04-25,0.2,0.0
269,600272,开开实业,2014,2015-04-25,0.5,0.0
270,600743,华远地产,2014,2015-04-25,1.2,0.0
271,600693,东百集团,2014,2015-04-25,2.0,0.0
272,600622,嘉宝集团,2014,2015-04-25,2.1,0.0
273,600592,龙溪股份,2014,2015-04-25,1.0,0.0
274,600561,江西长运,2014,2015-04-25,1.9,0.0
275,600499,科达洁能,2014,2015-04-25,2.0,0.0
276,600498,烽火通信,2014,2015-04-25,2.5,0.0
277,600395,盘江股份,2014,2015-04-25,1.6,0.0
278,600308,华泰股份,2014,2015-04-25,0.2,0.0
279,600293,三峡新材,2014,2015-04-25,0.1,0.0
280,600216,浙江医药,2014,2015-04-25,0.6,0.0
281,600208,新湖中宝,2014,2015-04-25,0.6,0.0
282,600112,天成控股,2014,2015-04-25,0.1,0.0
283,600060,海信电器,2014,2015-04-25,3.3,0.0
284,603012,创力集团,2014,2015-04-24,1.0,0.0
285,300432,富临精工,2014,2015-04-24,3.0,0.0
286,300440,运达科技,2014,2015-04-24,2.6,0.0
287,002749,国光股份,2014,2015-04-24,8.0,0.0
288,603222,济民制药,2014,2015-04-24,1.5,0.0
289,300411,金盾股份,2014,2015-04-24,1.0,10.0
290,002740,爱迪尔,2014,2015-04-24,1.5,0.0
291,300352,北信源,2014,2015-04-24,0.5,0.0
292,300387,富邦股份,2014,2015-04-24,1.5,0.0
293,002724,海洋王,2014,2015-04-24,1.7,0.0
294,300355,蒙草生态,2014,2015-04-24,0.7,0.0
295,300385,雪浪环境,2014,2015-04-24,1.0,5.0
296,002692,睿康股份,2014,2015-04-24,0.5,0.0
297,300326,凯利泰,2014,2015-04-24,0.9,10.0
298,300297,蓝盾股份,2014,2015-04-24,0.1,12.0
299,300236,上海新阳,2014,2015-04-24,0.0,6.0
300,601566,九牧王,2014,2015-04-24,10.0,0.0
301,300192,科斯伍德,2014,2015-04-24,0.2,0.0
302,300220,金运激光,2014,2015-04-24,0.1,0.0
303,002543,万和电气,2014,2015-04-24,1.8,0.0
304,300176,鸿特精密,2014,2015-04-24,0.5,0.0
305,300191,潜能恒信,2014,2015-04-24,0.1,0.0
306,300152,科融环境,2014,2015-04-24,0.2,0.0
307,300099,尤洛卡,2014,2015-04-24,1.0,0.0
308,300076,GQY视讯,2014,2015-04-24,0.8,0.0
309,300061,康耐特,2014,2015-04-24,0.2,6.0
310,601669,中国电建,2014,2015-04-24,1.0,0.0
311,002324,普利特,2014,2015-04-24,1.0,0.0
312,300041,回天新材,2014,2015-04-24,1.8,0.0
313,300053,欧比特,2014,2015-04-24,0.3,0.0
314,300117,嘉寓股份,2014,2015-04-24,0.2,0.0
315,002301,齐心集团,2014,2015-04-24,0.2,0.0
316,002278,神开股份,2014,2015-04-24,1.0,1.5
317,601777,力帆股份,2014,2015-04-24,2.0,0.0
318,002224,三力士,2014,2015-04-24,1.0,0.0
319,002144,宏达高科,2014,2015-04-24,2.0,0.0
320,002290,禾盛新材,2014,2015-04-24,1.5,0.0
321,002112,三变科技,2014,2015-04-24,0.1,0.0
322,601008,连云港,2014,2015-04-24,0.4,0.0
323,002078,太阳纸业,2014,2015-04-24,0.5,0.0
324,300402,宝色股份,2014,2015-04-24,0.4,0.0
325,002048,宁波华翔,2014,2015-04-24,1.0,0.0
326,600983,惠而浦,2014,2015-04-24,0.5,0.0
327,000906,浙商中拓,2014,2015-04-24,0.8,0.0
328,000739,普洛药业,2014,2015-04-24,0.9,0.0
329,000637,茂化实华,2014,2015-04-24,0.9,0.0
330,000589,黔轮胎A,2014,2015-04-24,0.3,0.0
331,000530,大冷股份,2014,2015-04-24,1.5,0.0
332,600831,广电网络,2014,2015-04-24,0.3,0.0
333,600778,友好集团,2014,2015-04-24,0.9,0.0
334,600755,厦门国贸,2014,2015-04-24,1.0,0.0
335,600897,厦门空港,2014,2015-04-24,4.7,0.0
336,600643,爱建集团,2014,2015-04-24,0.0,3.0
337,600596,新安股份,2014,2015-04-24,1.0,0.0
338,600557,康缘药业,2014,2015-04-24,1.0,0.0
339,600416,湘电股份,2014,2015-04-24,0.3,0.0
340,600291,西水股份,2014,2015-04-24,0.1,0.0
341,600285,羚锐制药,2014,2015-04-24,0.6,0.0
342,600159,大龙地产,2014,2015-04-24,0.5,0.0
343,600108,亚盛集团,2014,2015-04-24,0.2,0.0
344,600098,广州发展,2014,2015-04-24,1.8,0.0
345,300423,鲁亿通,2014,2015-04-23,1.0,0.0
346,300410,正业科技,2014,2015-04-23,0.6,0.0
347,300418,昆仑万维,2014,2015-04-23,2.5,0.0
348,300364,中文在线,2014,2015-04-23,0.8,0.0
349,002651,利君股份,2014,2015-04-23,4.0,0.0
350,002618,丹邦科技,2014,2015-04-23,0.5,0.0
351,300381,溢多利,2014,2015-04-23,2.0,0.0
