,code,name,year,report_date,divi,shares
0,002797,第一创业,2015,2016-08-06,0.8,0.0
1,002798,帝王洁具,2015,2016-06-08,3.0,0.0
2,603701,德宏股份,2015,2016-06-02,2.8,0.0
3,300509,新美星,2015,2016-06-01,3.0,0.0
4,300511,雪榕生物,2015,2016-05-24,2.0,0.0
5,300508,维宏股份,2015,2016-05-11,1.6,0.0
6,002605,姚记扑克,2015,2016-04-30,1.0,0.0
7,002366,台海核电,2015,2016-04-30,0.5,0.0
8,002325,洪涛股份,2015,2016-04-30,0.4,2.0
9,002312,三泰控股,2015,2016-04-30,0.5,5.0
10,300318,博晖创新,2015,2016-04-30,0.0,10.0
11,000961,中南建设,2015,2016-04-30,0.4,15.0
12,000938,紫光股份,2015,2016-04-30,0.2,0.0
13,000887,中鼎股份,2015,2016-04-30,0.8,0.0
14,000690,宝新能源,2015,2016-04-30,2.0,0.0
15,000539,粤电力A,2015,2016-04-30,2.3,0.0
16,000402,金融街,2015,2016-04-30,4.0,0.0
17,000061,农产品,2015,2016-04-30,0.5,0.0
18,600686,金龙汽车,2015,2016-04-30,1.6,0.0
19,600677,航天通信,2015,2016-04-30,0.2,0.0
20,600189,吉林森工,2015,2016-04-30,0.5,0.0
21,603223,恒通股份,2015,2016-04-29,0.7,0.0
22,603918,金桥信息,2015,2016-04-29,1.3,10.0
23,603198,迎驾贡酒,2015,2016-04-29,5.0,0.0
24,601021,春秋航空,2015,2016-04-29,2.1,0.0
