,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600485,信威集团,1255.8458,12813.623,2224.1825,2269.7302,529.1589,2138.2204
1,002180,纳思达,250.453,8827.874,55.7067,58.756,1866.6667,51.4794
2,000908,景峰医药,1069.9568,7432.0596,18624.9539,468.2637,4483.3333,19753.3168
3,300049,福瑞股份,23.312,4540.4789,22.2526,16.5899,1650.0,16.9712
4,600206,有研新材,393.6011,3504.8742,136.3639,115.6028,600.0,124.4197
5,000978,桂林旅游,123.13,3331.878,3.7511,10.4519,280.0,2.8939
6,600483,福能股份,392.4365,3316.493,696.3319,1165.065,942.8571,680.391
7,300059,东方财富,146.3054,3214.8814,11.2796,154.1441,1270.0,11.284
8,000810,创维数字,212.1568,2262.9706,210.356,258.0584,2886.4111,302.3273
9,600756,浪潮软件,23.8956,2080.0981,9.7011,42.5207,1305.0,9.8799
10,002346,柘中股份,148.6112,2026.9429,50.7412,87.4384,533.3333,50.7412
11,002354,天神娱乐,17.458,2013.1717,41.664,-23.243,1166.6667,41.4695
12,300601,康泰生物,21.0969,1962.9645,56.8686,21.245,,56.8686
13,300142,沃森生物,23.3112,1880.9323,9.3081,-2.74,125.9259,5.1172
14,603083,剑桥科技,101.9935,1793.8925,19.2807,96.2506,1860.0,19.2807
15,600398,海澜之家,803.6196,1522.4686,220.4724,459.0733,145.4545,226.166
16,002555,三七互娱,132.6676,1492.0772,285.2106,326.3221,733.3333,258.5909
17,002446,盛路通信,65.0397,1180.7174,87.4774,81.5395,1000.0,87.8597
18,002624,完美世界,94.7307,1176.347,59.3874,116.9119,725.0,48.8818
19,000546,金圆股份,1435.284,1080.1165,744.7378,1309.7962,147.6974,843.4936
20,300691,联合光电,128.4417,1028.4768,123.416,56.8289,,123.416
21,000681,视觉中国,270.7529,991.4277,717.2436,630.4594,1074.0,809.5626
22,600565,迪马股份,141.0026,969.3162,222.0922,97.2772,540.0,361.0575
23,603077,和邦生物,36.3791,942.639,44.433,63.5881,392.8571,44.433
24,600696,*ST匹凸,-90.8522,919.9168,11.9425,30.923,703.8462,13.5509
25,600826,兰生股份,11.9168,912.8567,75.997,75.4895,930.3777,74.5557
26,002201,九鼎新材,18.7464,911.8359,1.9225,30.592,400.0,1.8846
27,600685,中船防务,128.7704,868.1909,44.8408,87.8522,596.6825,44.2073
28,300269,联建光电,65.6565,842.9969,175.0421,123.5956,518.5714,174.951
29,002019,亿帆医药,141.3946,829.1151,401.0348,214.3012,648.7091,401.1701
30,300134,大富科技,29.3146,794.7971,15.7762,16.4797,717.6471,17.1437
31,601011,宝泰隆,0.3228,777.2335,2.5841,6.0182,500.0,2.7997
32,603169,兰石重装,10.9099,759.788,72.8284,86.8299,734.3284,72.8284
33,300681,英搏尔,152.2294,733.1008,211.1813,191.9915,,211.1813
34,002024,苏宁云商,3.4505,690.0425,2.9053,-0.0704,140.0,3.2169
35,601099,太平洋,,667.4941,228.974,206.4811,280.0,193.2222
36,300032,金龙机电,175.0551,666.807,108.5618,148.8139,471.4286,122.3381
37,600381,青海春天,617.5243,666.3799,516.4629,-3.6113,1845.8537,-809.0635
38,601788,光大证券,,653.4898,12.7691,113.4705,905.1495,13.0181
39,002012,凯恩股份,-4.8049,641.697,4.0697,-3.9174,200.0,3.672
40,002370,亚太药业,19.7568,640.2671,5.2814,5.8196,566.6667,5.2814
41,600099,林海股份,27.63,628.8343,-1.6804,3.7998,644.4444,-1.6804
42,002610,爱康科技,55.5018,607.187,81.6759,93.416,866.6667,85.8516
43,002520,日发精机,122.9522,592.6133,11.2327,40.0306,450.0,7.7308
44,000683,远兴能源,111.7974,581.1247,104.1789,66.1348,275.0,152.6487
45,600766,园城黄金,286.7863,574.6426,37.6929,-24.5211,500.0,37.6929
46,600141,兴发集团,4.1847,569.9294,42.3164,30.6816,643.1429,45.2553
47,600063,皖维高新,15.4779,564.9706,44.5479,17.2538,1100.0,52.7262
48,002427,尤夫股份,40.9572,555.6092,10.1777,-0.787,471.4286,9.4164
49,603225,新凤鸣,15.0122,535.7442,12.4918,6.1401,194.7368,13.8335
50,300222,科大智能,84.5112,527.1858,107.9522,121.7442,488.8889,111.4253
51,600188,兖州煤业,8.848,521.1349,2.5434,4.3244,76.7892,0.5597
52,002068,黑猫股份,3.0247,516.2467,7.2983,-2.0526,272.7866,7.5131
53,000712,锦龙股份,-68.854,511.264,9.9033,47.7673,265.7627,15.4298
54,600814,杭州解百,188.3798,505.4964,204.459,253.1236,70.0,126.7721
55,002182,云海金属,-13.5562,500.7382,-2.1034,-1.2285,9.0909,-0.4209
56,300709,精研科技,122.6144,494.2251,46.7578,50.9642,,46.7578
57,300252,金信诺,59.9303,490.6922,13.956,20.8655,264.2857,10.9229
58,600683,京投发展,249.9209,486.3662,-3.9893,23.5341,-70.0,0.1169
59,300008,天海防务,257.3373,483.7323,56.7731,105.1544,234.5455,59.4306
60,300148,天舟文化,57.2674,483.4604,225.1228,217.7843,200.0,228.864
61,000607,华媒控股,-34.0174,474.7475,128.2953,-0.1006,1100.0,240.5088
62,601519,*ST智慧,-8.2538,472.3638,2.4605,-5.0656,800.0,3.7718
63,603283,赛腾股份,242.1433,469.7221,255.8294,212.5746,466.6667,255.8294
64,300672,国科微,112.9379,467.5278,36.9576,92.7072,,43.8472
65,300283,温州宏丰,0.8657,466.5301,6.2357,29.4803,325.0,4.1618
66,603103,横店影视,28.1664,460.2508,72.6581,27.651,,74.7856
67,603659,璞泰来,172.4376,452.0863,48.6926,45.6614,,55.6345
68,600051,宁波联合,57.3445,447.6621,9.73,-0.7275,90.0,4.5353
69,600428,中远海特,2.9793,429.4458,0.6806,2.1124,515.7895,0.7098
70,000709,河钢股份,-10.8816,423.0807,1.0236,2.0792,500.0,1.1201
71,002792,通宇通讯,146.4059,419.5203,57.3559,70.5204,417.5439,57.3559
72,300670,大烨智能,239.06,406.4141,52.0705,91.2684,357.6351,52.0705
73,300175,朗源股份,34.398,406.2128,23.0521,32.4391,401.3477,18.1466
74,600807,天业股份,11.8087,400.0048,14.5137,24.8667,133.3333,16.0109
75,300682,朗新科技,12.382,399.9032,69.9759,65.5453,129.0076,69.9759
76,300708,聚灿光电,75.2796,394.2598,17.5144,29.2148,375.1429,17.5144
77,000416,民生控股,-10.8274,372.7898,7.9918,0.0165,1867.8571,11.0181
78,300498,温氏股份,8.1086,371.0367,18.9057,5.8402,,18.8676
79,601218,吉鑫科技,17.1431,365.7619,5.8857,1.0138,365.6716,4.1231
80,600382,广东明珠,148.0039,354.4594,52.0106,42.5302,318.6441,50.1715
81,600774,汉商集团,-6.1423,353.3184,3.6698,-1.3412,10.0,3.6246
82,600601,方正科技,31.1188,350.6836,-18.4623,44.0003,271.3396,-18.5323
83,002326,永太科技,37.9181,342.9774,65.3541,29.4021,312.5,68.0368
84,002562,兄弟科技,2.1304,337.2902,4.8304,7.3083,111.1111,5.1034
85,601599,鹿港文化,21.0906,336.4527,48.7697,27.0779,350.0,51.2071
86,600229,城市传媒,0.9442,333.3482,7.8724,12.3902,216.6667,7.3387
87,600052,浙江广厦,-8.4171,329.4704,9.454,-7.4525,300.0,9.5967
88,600584,长电科技,25.9937,327.7271,52.3232,43.782,1700.0,54.7412
89,002202,金风科技,43.8376,327.4362,10.3972,33.1911,327.8513,10.4751
90,000626,远大控股,0.9818,325.8945,55.1375,43.6998,535.2876,53.453
91,600851,海欣股份,-12.0042,324.3235,72.2889,65.5563,344.6494,78.0887
92,601012,隆基股份,61.3783,312.8641,9.0255,37.5793,323.0769,8.6311
93,300086,康芝药业,32.0691,306.1772,1.0275,1.1901,165.0067,1.1049
94,002131,利欧股份,56.1023,305.1663,33.9304,47.7592,166.6667,32.4964
95,300091,金通灵,21.7483,304.9275,1.3741,16.7104,449.1803,1.5104
96,002505,大康农业,-41.3345,303.6965,585.5036,396.073,-40.0,611.3861
97,600173,卧龙地产,91.0671,303.1485,2.4116,26.3735,297.4501,9.7103
98,300583,赛托生物,83.7213,298.8162,194.2378,140.7273,,194.2378
99,300094,国联水产,-3.8153,298.3413,6.5754,8.0063,297.5155,10.9602
100,002171,楚江新材,113.7773,293.832,78.737,56.8056,225.0,77.969
101,002195,二三四五,64.1392,288.7096,773.2456,778.6753,165.896,802.6024
102,002390,信邦制药,334.8087,287.7883,137.2649,251.3534,41.0435,131.6083
103,603980,吉华集团,54.1843,282.4621,87.9404,6.5258,271.1504,87.2551
104,000159,国际实业,10.1195,277.6988,5.1972,-0.4941,262.9229,5.0332
105,600810,神马股份,1.3061,276.2671,11.2132,19.437,207.6404,1.2966
106,300266,兴源环境,132.7837,269.711,91.576,109.6198,126.3158,88.4569
107,300638,广和通,137.7933,269.5579,193.9616,76.0232,,193.9616
108,000034,神州数码,-4.5029,266.622,56.133,22.0662,240.0,56.133
109,600816,安信信托,,266.0663,108.6855,84.5683,266.0711,108.6855
110,600909,华安证券,,263.1718,14.9297,101.3897,242.8571,15.0292
111,600367,红星发展,3.772,262.8125,1.7837,2.1543,800.0,1.8723
112,603612,索通发展,-4.9827,259.7691,13.2579,1.0289,270.8333,11.6142
113,000429,粤高速A,9.6082,258.67,16.1946,-1.4256,150.0,18.3619
114,002252,上海莱士,165.8829,258.2065,682.7622,495.4657,55.1724,691.8909
115,002268,卫士通,170.2644,251.8134,102.4938,115.8198,145.4667,119.5787
116,600782,新钢股份,-3.9764,248.4617,5.1923,-4.4471,262.5,5.2983
117,300190,维尔利,133.7681,246.6334,53.1108,67.2087,227.7778,53.4131
118,300045,华力创通,32.8239,246.3867,7.4534,17.0097,260.0,8.6002
119,002107,沃华医药,23.361,244.1014,4.4145,3.6573,266.6667,4.4145
120,603078,江化微,33.6746,241.3217,22.3046,8.6676,,22.3046
121,002092,中泰化学,-7.2133,240.4398,18.3152,26.6652,200.0,2.9934
122,300042,朗科科技,-8.7929,238.4638,2.4713,-1.3582,238.2883,2.4713
123,300237,美晨生态,89.6855,237.5191,110.0568,194.0579,66.0714,110.3255
124,600812,华北制药,-24.4182,234.917,26.5426,6.8955,170.0,28.8312
125,002547,春兴精工,78.3626,234.4488,117.09,80.8488,227.2727,116.0088
126,600682,南京新百,133.3548,233.6868,11.4703,217.7605,194.7368,27.0372
127,600326,西藏天路,-18.8811,233.3698,7.5211,8.6896,1100.0,5.5078
128,300208,恒顺众昇,296.564,219.0777,16.4063,20.8686,192.3077,15.259
129,000426,兴业矿业,40.2081,217.587,0.905,-7.6307,88.1332,0.8402
130,000939,凯迪生态,28.9697,211.5489,8.1477,18.6079,214.2857,10.711
131,600726,华电能源,-3.9904,210.2024,6.2262,1.135,872.2222,5.2113
132,002383,合众思壮,-20.9569,209.326,1.2432,4.954,308.3969,1.5676
133,002797,第一创业,,207.6712,13.4866,86.7869,225.0,12.7163
134,603466,风语筑,35.2858,207.2155,40.9141,26.2373,,40.9141
135,300011,鼎汉技术,76.1354,207.1864,133.7854,122.8818,56.8413,133.714
136,600893,航发动力,237.617,204.0933,240.5423,391.5662,66.6667,217.654
137,600548,深高速,10.401,202.555,16.738,6.5202,203.9394,18.2784
138,300643,万通智控,32.8872,200.222,-4.5915,14.3866,,-4.5853
139,000949,新乡化纤,-13.1107,198.6835,39.0612,3.7394,176.5027,38.7297
140,300201,海伦哲,44.3199,197.4678,2.2078,6.9368,196.2025,2.2891
141,300677,英科医疗,24.0347,196.8558,13.9042,-6.8068,,15.2293
142,600590,泰豪科技,16.7589,196.0858,2.2881,-8.2377,300.0,2.4332
143,600053,九鼎投资,32.7896,195.4479,8.2572,-10.9362,195.4561,8.2572
144,300324,旋极信息,48.9743,194.7881,47.4148,63.8977,52.6,42.8219
145,000988,华工科技,32.4047,192.2169,6.2285,12.4127,216.6667,6.1852
146,002905,金逸影视,16.5367,191.6584,25.8919,19.6726,194.5946,26.1485
147,603722,阿科力,46.4715,191.4896,58.4145,27.8153,193.3333,58.4145
148,300292,吴通控股,144.0184,191.4812,110.0422,112.9626,61.1111,110.0422
149,601555,东吴证券,,191.3231,80.2345,204.9296,157.8947,79.8278
150,002005,德豪润达,32.7436,188.8436,37.7024,18.4651,43.4211,31.3983
151,000760,斯太尔,17.1962,188.7026,-1.6265,0.9251,100.0,-1.6265
152,002885,京泉华,13.5308,188.4429,10.2036,7.9478,200.0,10.2036
153,000516,国际医学,8.9092,188.2216,24.528,-2.7242,188.2353,24.5929
154,600226,瀚叶股份,-16.3631,187.2585,2.841,0.3452,185.7143,5.2404
155,300278,华昌达,106.0383,185.88,151.7829,133.57,140.0,151.5815
156,000025,特力A,-4.4669,183.8395,-0.6798,15.0252,50.1597,0.2761
157,300716,国立科技,17.5021,183.1538,21.5705,24.3056,,21.5705
158,600687,刚泰控股,236.7763,180.9261,16.1447,78.7797,65.1613,16.1447
159,000957,中通客车,12.288,180.8585,34.2721,29.8478,165.9091,33.3525
160,002194,武汉凡谷,57.6402,180.0477,4.1734,10.9633,177.7778,4.1734
161,002852,道道全,-7.8779,179.7989,66.1362,-1.4673,,66.1362
162,600693,东百集团,-14.2582,178.1949,11.439,24.7014,160.1343,13.7106
163,000875,吉电股份,9.339,177.7674,5.9496,11.1109,0.7874,-1.0936
