,code,name,date,weight
0,600050,中国联通,2016-08-01,0.41
1,600115,东方航空,2016-08-01,0.31
2,002195,二三四五,2016-08-01,0.1
3,600018,上港集团,2016-08-01,0.2
4,600029,南方航空,2016-08-01,0.34
5,601021,春秋航空,2016-08-01,0.14
6,603885,吉祥航空,2016-08-01,0.05
7,600373,中文传媒,2016-08-01,0.14
8,601111,中国国航,2016-08-01,0.25
9,300058,蓝色光标,2016-08-01,0.16
10,600372,中航电子,2016-08-01,0.12
11,600221,海南航空,2016-08-01,0.23
12,600570,恒生电子,2016-08-01,0.32
13,600446,金证股份,2016-08-01,0.18
14,600276,恒瑞医药,2016-08-01,0.71
15,002292,奥飞娱乐,2016-08-01,0.18
16,002065,东华软件,2016-08-01,0.18
17,002568,百润股份,2016-08-01,0.05
18,300144,宋城演艺,2016-08-01,0.16
19,600009,上海机场,2016-08-01,0.31
20,002007,华兰生物,2016-08-01,0.2
21,002739,万达院线,2016-08-01,0.39
22,601098,中南传媒,2016-08-01,0.15
23,300133,华策影视,2016-08-01,0.12
24,600150,中国船舶,2016-08-01,0.18
25,601872,招商轮船,2016-08-01,0.13
26,002230,科大讯飞,2016-08-01,0.3
27,601099,太平洋,2016-08-01,0.32
28,000963,华东医药,2016-08-01,0.19
29,000768,中航飞机,2016-08-01,0.27
30,600547,山东黄金,2016-08-01,0.38
31,000800,一汽轿车,2016-08-01,0.1
32,601800,中国交建,2016-08-01,0.19
33,600098,广州发展,2016-08-01,0.07
34,601989,中国重工,2016-08-01,0.69
35,600637,东方明珠,2016-08-01,0.35
36,000712,锦龙股份,2016-08-01,0.1
37,600037,歌华有线,2016-08-01,0.13
38,601718,际华集团,2016-08-01,0.15
39,600038,中直股份,2016-08-01,0.11
40,002008,大族激光,2016-08-01,0.22
41,000156,华数传媒,2016-08-01,0.09
42,601106,中国一重,2016-08-01,0.16
43,600489,中金黄金,2016-08-01,0.29
44,300146,汤臣倍健,2016-08-01,0.11
45,600256,广汇能源,2016-08-01,0.16
46,603000,人民网,2016-08-01,0.13
47,300251,光线传媒,2016-08-01,0.11
48,000157,中联重科,2016-08-01,0.21
49,601668,中国建筑,2016-08-01,1.01
50,600027,华电国际,2016-08-01,0.15
51,001979,招商蛇口,2016-08-01,0.41
52,300027,华谊兄弟,2016-08-01,0.28
53,601928,凤凰传媒,2016-08-01,0.09
54,000568,泸州老窖,2016-08-01,0.26
55,601601,中国太保,2016-08-01,0.98
56,601608,中信重工,2016-08-01,0.08
57,601991,大唐发电,2016-08-01,0.14
58,000917,电广传媒,2016-08-01,0.22
59,600518,康美药业,2016-08-01,0.58
60,000725,京东方Ａ,2016-08-01,0.64
61,600999,招商证券,2016-08-01,0.56
62,300085,银之杰,2016-08-01,0.09
63,000686,东北证券,2016-08-01,0.2
64,601333,广深铁路,2016-08-01,0.16
65,601018,宁波港,2016-08-01,0.22
66,300104,乐视网,2016-08-01,0.5
67,000069,华侨城Ａ,2016-08-01,0.26
68,601985,中国核电,2016-08-01,0.36
69,600383,金地集团,2016-08-01,0.25
70,600690,青岛海尔,2016-08-01,0.38
71,601866,中远海发,2016-08-01,0.15
72,600588,用友网络,2016-08-01,0.19
73,000559,万向钱潮,2016-08-01,0.19
74,600705,中航资本,2016-08-01,0.3
75,000503,海虹控股,2016-08-01,0.34
76,600398,海澜之家,2016-08-01,0.18
77,300003,乐普医疗,2016-08-01,0.19
78,600196,复星医药,2016-08-01,0.28
79,002736,国信证券,2016-08-01,0.46
80,002385,大北农,2016-08-01,0.19
81,600100,同方股份,2016-08-01,0.32
82,601216,君正集团,2016-08-01,0.11
83,600369,西南证券,2016-08-01,0.24
84,002673,西部证券,2016-08-01,0.39
85,600352,浙江龙盛,2016-08-01,0.25
86,601618,中国中冶,2016-08-01,0.21
87,600804,鹏博士,2016-08-01,0.26
88,000977,浪潮信息,2016-08-01,0.16
89,000826,启迪桑德,2016-08-01,0.18
90,300070,碧水源,2016-08-01,0.32
91,600583,海油工程,2016-08-01,0.19
92,600663,陆家嘴,2016-08-01,0.19
93,600606,绿地控股,2016-08-01,0.04
94,600820,隧道股份,2016-08-01,0.17
95,600648,外高桥,2016-08-01,0.08
96,600118,中国卫星,2016-08-01,0.22
97,601009,南京银行,2016-08-01,0.44
98,600010,包钢股份,2016-08-01,0.32
99,600837,海通证券,2016-08-01,1.43
100,601788,光大证券,2016-08-01,0.23
101,000166,申万宏源,2016-08-01,0.43
102,000540,中天城投,2016-08-01,0.21
103,601555,东吴证券,2016-08-01,0.33
104,600795,国电电力,2016-08-01,0.41
105,600030,中信证券,2016-08-01,1.48
106,600893,中航动力,2016-08-01,0.32
