,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002827,高争民爆,0.31,,,,,4244.07,,,12-08
1,002828,贝肯能源,0.41,,,8.16,-0.42,3591.01,,,12-07
2,603559,中通国脉,0.24,,,,,1586.8,,,12-01
3,603319,湘油泵,0.59,,,10.46,0.76,3597.87,,,11-29
4,603323,吴江银行,0.53,,,8.47,,53548.8,,,11-28
5,002822,中装建设,0.39,,,10.01,-0.55,8814.42,,,11-28
6,002825,纳尔股份,0.61,,,16.81,0.59,4597.85,,,11-28
7,300573,兴齐眼药,0.37,,,,,2197.96,,,11-25
8,603819,神力股份,0.38,,,7.69,0.09,3386.67,,,11-24
9,603336,宏辉果蔬,0.44,,,11.92,,4378.41,,,11-23
10,603900,通灵珠宝,0.78,,,,,14137.7,,,11-22
11,300565,科信技术,0.44,,,17.51,-0.1,5338.06,,,11-21
12,300572,安车检测,0.65,,,14.28,,3253.33,,,11-21
13,603987,康德莱,0.44,,,10.56,0.72,6933.02,,,11-18
14,002821,凯莱英,0.91,,,10.45,2.43,8233.93,,,11-17
15,002820,桂发祥,0.82,,,20.42,0.99,7897.29,,,11-17
16,603858,步长制药,4.73,,,54.94,,289226.3,,,11-17
17,300561,汇金科技,1.35,,,28.18,-0.55,5660.7,,,11-16
18,300566,激智科技,0.66,,,17.76,0.88,3909.73,,,11-14
19,300568,星源材质,0.75,,,14.22,,6779.54,,,11-11
20,300563,神宇股份,0.42,,,11.3,0.37,2513.1,,,11-11
21,002819,东方中科,0.26,,,7.68,-0.44,2196.0,,,11-10
22,603556,海兴电力,0.91,,,18.26,0.71,25414.35,,,11-09
23,603060,国检集团,,,,,,6885.78,,,11-08
24,300569,天能重工,1.59,,,19.27,0.65,9910.65,,,11-08
25,002818,富森美,0.84,,,16.37,1.24,33104.5,,,11-08
26,603203,快克股份,0.85,,,,0.97,5847.11,,,11-07
27,300558,贝达药业,0.81,,,42.56,0.86,28989.4,,,11-04
28,601882,海天精工,0.09,,,4.67,0.12,4422.61,,,11-04
29,300556,丝路视觉,0.01,,,0.25,-0.21,55.48,,,11-03
30,603859,能科股份,-0.06,,,-1.22,,-476.76,,,10-31
31,603016,新宏泰,0.45,,,12.08,,5039.91,,,10-31
32,600936,广西广电,0.25,,,13.97,,34127.04,,,10-31
33,600919,江苏银行,0.71,,,12.39,,735053.6,,,10-31
34,603887,城地股份,0.56,,,13.03,,4119.37,,,10-31
35,300557,理工光科,0.16,,,2.92,-0.56,669.21,,,10-31
36,300559,佳发安泰,0.77,,,19.41,0.92,4130.52,,,10-31
37,300560,中富通,0.46,,,10.01,-0.6,2431.66,,,10-31
38,603843,正平股份,0.18,,,8.3,,5467.59,,,10-31
39,600908,无锡银行,0.38,,,9.66,,63928.15,,,10-31
40,002813,路畅科技,0.14,,,,,1697.93,,,10-31
41,603159,上海亚虹,0.35,,,14.13,,2612.08,,,10-31
42,300555,路通视信,0.63,,,,,3801.96,,,10-29
43,603313,恒康家居,0.69,,,22.52,,12466.94,,,10-29
44,300512,中亚股份,0.5,,,,,10185.6,,,10-29
45,603322,超讯通信,0.31,,,9.0,,1850.28,,,10-29
46,300539,横河模具,0.27,,,,,1951.1,,,10-29
47,603738,泰晶科技,0.52,,,11.22,,2618.17,,,10-29
48,600977,中国电影,0.48,,,15.84,,66846.62,,,10-29
49,603779,威龙股份,0.07,,,2.26,,1117.13,,,10-29
50,603189,网达软件,0.1,,,4.56,,1700.0,,,10-29
51,603816,顾家家居,1.04,,,34.62,,34446.11,,,10-29
52,300533,冰川网络,1.85,,,,,13862.63,,,10-29
53,603861,白云电器,0.21,,,6.14,,7670.57,,,10-29
54,300540,深冷股份,0.6,,,,,3587.71,,,10-29
55,300547,川环科技,1.08,,,,,4853.09,,,10-29
56,300509,新美星,0.63,,,,,3780.97,,,10-29
57,300520,科大国创,0.24,,,,,1634.06,,,10-29
58,603800,道森股份,0.2,,,6.54,,3165.47,,,10-29
59,300551,古鳌科技,0.09,,,,,518.12,,,10-29
60,300550,和仁科技,0.42,,,,,2533.79,,,10-29
61,002807,江阴银行,0.35,,,,,54577.9,,,10-28
62,603999,读者传媒,0.29,,,6.21,,6274.91,,,10-28
63,300529,健帆生物,0.37,,,,,13534.73,,,10-28
64,601128,常熟银行,0.36,,,9.83,,72948.2,,,10-28
65,603726,朗迪集团,0.8,,,13.75,,5650.76,,,10-28
66,603822,嘉澳环保,0.52,,,7.44,,2854.65,,,10-28
67,603131,上海沪工,0.51,,,12.43,,3861.65,,,10-28
68,603569,长久物流,0.61,,,26.32,,22049.39,,,10-28
69,300543,朗科智能,1.17,,,,,5269.54,,,10-28
70,603909,合诚股份,0.5,,,14.16,,3786.01,,,10-28
71,300523,辰安科技,-0.09,,,,,-562.61,,,10-28
72,603986,兆易创新,1.61,,,25.38,,12097.93,,,10-28
73,002780,三夫户外,0.22,,,,,1089.58,,,10-28
74,603919,金徽酒,0.56,,,17.5,,11712.17,,,10-28
75,603528,多伦科技,1.5,,,48.67,,23270.81,,,10-28
76,300518,盛讯达,0.9,,,,,6305.1,,,10-28
77,603663,三祥新材,0.26,,,11.7,,2618.71,,,10-28
78,603160,汇顶科技,0.56,,,23.64,,22451.36,,,10-28
