,code,name
0,600000,浦发银行
1,600010,包钢股份
2,600016,民生银行
3,600028,中国石化
4,600029,南方航空
5,600030,中信证券
6,600036,招商银行
7,600048,保利地产
8,600050,中国联通
9,600104,上汽集团
10,600109,国金证券
11,600111,北方稀土
12,600518,康美药业
13,600519,贵州茅台
14,600637,东方明珠
15,600795,国电电力
16,600837,海通证券
17,600887,伊利股份
18,600893,中航动力
19,600958,东方证券
20,600999,招商证券
21,601006,大秦铁路
22,601088,中国神华
23,601166,兴业银行
24,601169,北京银行
25,601186,中国铁建
26,601211,国泰君安
27,601288,农业银行
28,601318,中国平安
29,601328,交通银行
30,601336,新华保险
31,601377,兴业证券
32,601390,中国中铁
33,601398,工商银行
34,601601,中国太保
35,601628,中国人寿
36,601668,中国建筑
37,601669,中国电建
38,601688,华泰证券
39,601727,上海电气
40,601766,中国中车
41,601788,光大证券
42,601800,中国交建
43,601818,光大银行
44,601857,中国石油
45,601919,中国远洋
46,601985,中国核电
47,601988,中国银行
48,601989,中国重工
49,601998,中信银行
