,date,open,close,high,low,volume,code
0,2011-01-04,16.131,16.238,16.426,15.854,98225.0,002022
1,2011-01-05,16.176,16.721,16.935,15.979,162384.0,002022
2,2011-01-06,16.623,16.31,16.73,16.256,76371.0,002022
3,2011-01-07,16.462,16.22,16.846,16.006,124592.0,002022
4,2011-01-10,16.176,15.479,16.176,15.416,108992.0,002022
5,2011-01-11,15.398,14.978,15.559,14.755,111645.0,002022
6,2011-01-12,15.103,15.112,15.166,14.808,57740.0,002022
7,2011-01-13,15.139,15.112,15.211,15.041,42793.0,002022
8,2011-01-14,15.112,15.336,15.64,14.925,98208.0,002022
9,2011-01-17,15.282,14.415,15.282,14.344,83426.0,002022
10,2011-01-18,14.415,14.433,14.54,14.12,31591.0,002022
11,2011-01-19,14.478,14.799,14.799,14.335,48964.0,002022
12,2011-01-20,14.746,14.29,14.791,14.192,52299.0,002022
13,2011-01-21,14.263,14.344,14.531,14.049,40807.0,002022
14,2011-01-24,14.344,13.924,14.379,13.7,66067.0,002022
15,2011-01-25,13.933,13.933,14.102,13.772,27174.0,002022
16,2011-01-26,13.977,14.129,14.201,13.977,27584.0,002022
17,2011-01-27,14.076,14.54,14.576,13.986,56145.0,002022
18,2011-01-28,14.549,14.71,14.719,14.478,40383.0,002022
19,2011-01-31,14.746,14.63,14.746,14.442,52829.0,002022
20,2011-02-01,14.639,14.612,14.701,14.513,31283.0,002022
21,2011-02-09,14.567,14.612,14.808,14.469,46854.0,002022
22,2011-02-10,14.505,15.103,15.228,14.496,95162.0,002022
23,2011-02-11,15.103,15.157,15.273,14.925,91635.0,002022
24,2011-02-14,15.264,15.362,15.407,15.112,123461.0,002022
25,2011-02-15,15.371,15.264,15.461,15.255,105199.0,002022
26,2011-02-16,15.282,15.398,15.398,15.121,94322.0,002022
27,2011-02-17,15.488,15.309,15.505,15.085,94340.0,002022
28,2011-02-18,15.309,15.291,15.434,15.076,91486.0,002022
29,2011-02-21,15.139,15.407,15.416,15.103,108432.0,002022
30,2011-02-22,15.416,15.157,15.765,15.13,148615.0,002022
31,2011-02-23,15.05,15.291,15.425,15.041,71412.0,002022
32,2011-02-24,15.228,15.497,15.55,15.059,110975.0,002022
33,2011-02-25,15.461,15.336,15.497,15.219,69994.0,002022
34,2011-02-28,15.354,15.416,15.47,15.202,88283.0,002022
35,2011-03-01,15.541,15.8,15.979,15.541,176670.0,002022
36,2011-03-02,15.8,16.077,16.211,15.648,157327.0,002022
37,2011-03-03,16.086,15.622,16.176,15.47,119731.0,002022
38,2011-03-04,15.568,15.729,15.756,15.398,64449.0,002022
39,2011-03-07,15.729,15.8,15.854,15.488,105884.0,002022
40,2011-03-08,15.774,15.72,15.8,15.461,95858.0,002022
41,2011-03-09,15.72,15.55,15.783,15.461,81287.0,002022
42,2011-03-10,15.479,15.452,15.693,15.434,84466.0,002022
43,2011-03-11,15.38,15.362,15.541,15.273,70040.0,002022
44,2011-03-14,15.327,15.756,15.791,15.3,114329.0,002022
45,2011-03-15,15.756,15.452,15.756,15.059,98090.0,002022
46,2011-03-16,15.461,15.505,15.514,15.237,70437.0,002022
47,2011-03-17,15.434,15.246,15.711,15.202,103081.0,002022
48,2011-03-18,15.354,15.059,15.407,15.014,111622.0,002022
49,2011-03-21,14.996,14.746,15.094,14.594,93190.0,002022
50,2011-03-22,14.764,14.826,14.835,14.549,49736.0,002022
51,2011-03-23,14.746,14.889,14.907,14.746,44781.0,002022
52,2011-03-24,14.925,15.005,15.166,14.925,76556.0,002022
53,2011-03-25,14.969,15.014,15.068,14.853,52125.0,002022
54,2011-03-28,15.023,14.808,15.103,14.683,81980.0,002022
55,2011-03-29,14.764,14.549,14.791,14.505,70217.0,002022
56,2011-03-30,14.567,14.656,14.791,14.522,77050.0,002022
57,2011-03-31,14.567,14.353,14.701,14.335,51366.0,002022
58,2011-04-01,14.344,14.442,14.531,14.344,35847.0,002022
59,2011-04-06,14.379,14.63,14.71,14.37,50454.0,002022
60,2011-04-07,14.639,14.54,14.665,14.46,49774.0,002022
61,2011-04-08,14.54,14.719,14.719,14.522,51520.0,002022
62,2011-04-11,14.719,14.782,14.889,14.665,66992.0,002022
63,2011-04-12,14.746,14.594,14.889,14.549,51934.0,002022
64,2011-04-13,14.54,14.826,14.871,14.496,49233.0,002022
65,2011-04-14,14.853,14.88,14.987,14.764,63564.0,002022
66,2011-04-15,14.871,14.71,14.916,14.594,43467.0,002022
67,2011-04-18,14.656,14.612,14.71,14.531,55173.0,002022
68,2011-04-19,14.567,14.379,14.612,14.344,52341.0,002022
69,2011-04-20,14.379,14.764,14.764,14.379,55628.0,002022
70,2011-04-21,14.737,14.692,14.826,14.621,48218.0,002022
71,2011-04-22,14.692,14.567,14.737,14.558,35898.0,002022
72,2011-04-25,14.567,14.415,14.648,14.388,36403.0,002022
73,2011-04-26,14.424,14.433,14.558,14.344,29201.0,002022
74,2011-04-28,14.388,12.994,14.388,12.994,157773.0,002022
75,2011-04-29,12.976,12.762,13.039,12.261,80012.0,002022
76,2011-05-03,12.762,12.887,12.887,12.503,42770.0,002022
77,2011-05-04,12.78,12.529,12.815,12.476,39410.0,002022
78,2011-05-05,12.547,12.619,12.78,12.529,32863.0,002022
79,2011-05-06,12.628,12.842,12.905,12.628,40040.0,002022
80,2011-05-09,12.869,12.967,13.057,12.869,33120.0,002022
81,2011-05-10,12.958,12.95,13.012,12.842,25063.0,002022
82,2011-05-11,12.958,13.048,13.048,12.86,28624.0,002022
83,2011-05-12,13.03,12.747,13.03,12.747,40402.0,002022
84,2011-05-13,12.684,12.884,12.893,12.684,19842.0,002022
85,2011-05-16,12.893,12.893,12.994,12.83,19066.0,002022
86,2011-05-17,12.893,12.903,12.985,12.711,25535.0,002022
87,2011-05-18,12.903,12.921,12.976,12.811,23687.0,002022
88,2011-05-19,12.93,12.857,12.994,12.839,23316.0,002022
89,2011-05-20,12.857,12.802,12.921,12.784,25797.0,002022
90,2011-05-23,12.793,12.291,12.82,12.273,39850.0,002022
91,2011-05-24,12.227,12.2,12.319,12.054,32543.0,002022
92,2011-05-26,12.154,11.853,12.273,11.744,49314.0,002022
93,2011-05-27,11.844,11.68,11.935,11.643,29852.0,002022
94,2011-05-30,11.643,11.625,11.771,11.561,19410.0,002022
95,2011-05-31,11.598,11.871,11.899,11.589,26347.0,002022
96,2011-06-01,11.881,12.163,12.264,11.844,44367.0,002022
97,2011-06-02,12.045,11.944,12.045,11.762,29151.0,002022
98,2011-06-03,11.908,12.072,12.173,11.908,27066.0,002022
99,2011-06-07,12.045,12.136,12.382,12.045,32341.0,002022
100,2011-06-08,12.118,12.063,12.136,11.871,24212.0,002022
101,2011-06-09,11.972,11.817,12.054,11.744,28026.0,002022
102,2011-06-10,12.346,12.264,12.857,12.136,100232.0,002022
103,2011-06-13,11.954,11.981,12.09,11.835,47280.0,002022
104,2011-06-14,11.954,12.072,12.191,11.871,40338.0,002022
105,2011-06-15,12.045,12.017,12.127,11.899,29549.0,002022
106,2011-06-16,11.908,11.707,11.926,11.689,32352.0,002022
107,2011-06-17,11.707,11.725,11.999,11.707,27362.0,002022
108,2011-06-20,11.652,11.47,11.698,11.406,24946.0,002022
109,2011-06-21,11.47,11.534,11.616,11.388,39018.0,002022
110,2011-06-22,11.543,11.37,11.579,11.351,30277.0,002022
111,2011-06-23,11.36,11.589,11.616,11.324,36550.0,002022
112,2011-06-24,11.643,11.954,12.027,11.57,67474.0,002022
113,2011-06-27,12.008,12.063,12.264,11.963,54331.0,002022
114,2011-06-28,12.182,12.163,12.264,12.036,39444.0,002022
115,2011-06-29,12.218,11.917,12.218,11.917,38582.0,002022
116,2011-06-30,11.917,12.081,12.118,11.917,36629.0,002022
117,2011-07-01,12.319,12.282,12.565,12.2,87206.0,002022
118,2011-07-04,12.282,12.556,12.574,12.282,67570.0,002022
119,2011-07-05,12.556,12.574,12.62,12.41,45283.0,002022
120,2011-07-06,12.51,12.501,12.574,12.392,36941.0,002022
121,2011-07-07,12.483,12.483,12.729,12.455,62690.0,002022
122,2011-07-08,12.501,12.41,12.51,12.328,39175.0,002022
123,2011-07-11,12.364,12.401,12.483,12.264,36115.0,002022
124,2011-07-12,12.236,12.109,12.309,12.1,48121.0,002022
125,2011-07-13,12.136,12.547,12.583,12.136,70255.0,002022
126,2011-07-14,12.556,12.884,12.912,12.547,102982.0,002022
127,2011-07-15,12.985,13.049,13.112,12.866,98026.0,002022
128,2011-07-18,13.14,13.231,13.651,13.067,151614.0,002022
129,2011-07-19,13.058,12.939,13.167,12.875,57747.0,002022
130,2011-07-20,13.003,12.93,13.131,12.757,41663.0,002022
131,2011-07-21,12.93,12.839,13.049,12.784,44613.0,002022
132,2011-07-22,12.866,13.24,13.249,12.82,77450.0,002022
133,2011-07-25,13.112,12.775,13.322,12.72,65910.0,002022
134,2011-07-26,12.775,12.83,12.839,12.565,34474.0,002022
135,2011-07-27,12.811,13.049,13.122,12.638,55898.0,002022
136,2011-07-28,12.793,12.921,13.03,12.784,37892.0,002022
137,2011-07-29,13.185,12.729,13.185,12.665,40726.0,002022
138,2011-08-01,12.693,12.629,12.757,12.519,26295.0,002022
139,2011-08-02,12.528,12.273,12.611,12.081,49716.0,002022
140,2011-08-03,12.054,12.154,12.282,12.054,41577.0,002022
141,2011-08-04,12.227,12.218,12.428,12.182,29796.0,002022
142,2011-08-05,11.871,11.899,11.972,11.744,45147.0,002022
143,2011-08-08,11.643,11.132,11.753,11.078,75711.0,002022
144,2011-08-09,10.786,10.986,11.059,10.548,73816.0,002022
145,2011-08-10,11.178,11.105,11.379,11.087,56735.0,002022
146,2011-08-11,10.95,11.47,11.488,10.776,69244.0,002022
147,2011-08-12,11.525,11.625,11.789,11.525,57368.0,002022
148,2011-08-15,11.771,11.798,11.917,11.662,35206.0,002022
149,2011-08-16,11.789,11.662,11.935,11.643,34088.0,002022
150,2011-08-17,11.652,11.589,11.753,11.57,23871.0,002022
151,2011-08-18,11.589,11.333,11.671,11.315,26099.0,002022
152,2011-08-19,11.041,11.333,11.333,10.959,34381.0,002022
153,2011-08-22,11.36,11.26,11.516,11.132,28322.0,002022
154,2011-08-23,11.333,11.543,11.543,11.26,27024.0,002022
155,2011-08-24,11.616,11.735,11.935,11.561,55940.0,002022
156,2011-08-25,11.753,11.89,11.908,11.625,43251.0,002022
157,2011-08-26,11.908,12.419,12.483,11.817,102838.0,002022
158,2011-08-29,12.309,12.419,12.62,12.118,67279.0,002022
159,2011-08-30,12.373,12.191,12.483,12.163,56470.0,002022
160,2011-08-31,12.173,12.054,12.2,11.981,30955.0,002022
161,2011-09-01,12.09,12.045,12.337,12.045,34406.0,002022
162,2011-09-02,12.045,12.118,12.209,11.944,20329.0,002022
163,2011-09-05,11.89,11.78,12.027,11.707,28262.0,002022
164,2011-09-06,11.607,11.689,11.789,11.561,20150.0,002022
165,2011-09-07,11.844,12.045,12.154,11.716,20713.0,002022
166,2011-09-08,12.09,12.081,12.273,11.999,36334.0,002022
167,2011-09-09,11.999,11.762,12.182,11.68,28886.0,002022
168,2011-09-13,11.634,11.452,11.634,11.315,21666.0,002022
169,2011-09-14,11.497,11.552,11.607,11.205,30771.0,002022
170,2011-09-15,11.497,11.552,11.716,11.497,21988.0,002022
171,2011-09-16,11.607,11.506,11.698,11.506,11755.0,002022
172,2011-09-19,11.443,11.37,11.506,11.333,12477.0,002022
173,2011-09-20,11.37,11.452,11.497,11.224,12890.0,002022
174,2011-09-21,11.424,11.826,11.844,11.333,29822.0,002022
175,2011-09-22,11.68,11.415,11.798,11.415,26575.0,002022
176,2011-09-23,11.214,11.351,11.397,11.141,16953.0,002022
177,2011-09-26,11.315,11.224,11.424,11.214,15765.0,002022
178,2011-09-27,11.315,11.05,11.36,10.922,45098.0,002022
179,2011-09-28,11.132,10.685,11.178,10.649,52224.0,002022
180,2011-09-29,10.63,10.348,10.676,10.202,59184.0,002022
181,2011-09-30,10.348,10.329,10.402,10.22,25557.0,002022
182,2011-10-10,10.357,10.366,10.484,10.32,23775.0,002022
183,2011-10-11,10.63,10.357,10.758,10.256,29300.0,002022
184,2011-10-12,10.357,10.667,10.703,10.229,31086.0,002022
185,2011-10-13,10.658,10.786,10.904,10.612,30444.0,002022
186,2011-10-14,10.767,10.74,10.813,10.567,20883.0,002022
187,2011-10-17,10.749,10.676,10.831,10.64,18188.0,002022
188,2011-10-18,10.585,10.311,10.649,10.238,23366.0,002022
189,2011-10-19,10.329,10.366,10.439,10.275,17878.0,002022
190,2011-10-20,10.366,10.147,10.421,10.037,23242.0,002022
191,2011-10-21,10.147,10.083,10.256,10.019,20149.0,002022
192,2011-10-24,10.174,10.539,10.557,10.092,60433.0,002022
193,2011-10-25,10.576,10.767,10.804,10.411,65475.0,002022
194,2011-10-26,10.685,10.84,10.986,10.676,85380.0,002022
195,2011-10-27,10.968,10.913,11.315,10.913,95926.0,002022
196,2011-10-28,11.096,11.169,11.306,10.932,91465.0,002022
197,2011-10-31,11.151,11.151,11.251,11.041,39524.0,002022
198,2011-11-01,10.995,11.187,11.36,10.995,52089.0,002022
199,2011-11-02,11.041,11.698,11.808,10.95,146016.0,002022
200,2011-11-03,11.68,11.817,12.218,11.643,146121.0,002022
201,2011-11-04,11.908,11.853,12.008,11.652,66989.0,002022
202,2011-11-07,11.771,11.826,12.017,11.753,36766.0,002022
203,2011-11-08,11.817,11.506,11.862,11.506,44122.0,002022
204,2011-11-09,11.57,11.899,11.926,11.415,52721.0,002022
205,2011-11-10,11.771,11.844,11.99,11.689,62884.0,002022
206,2011-11-11,11.798,11.862,11.999,11.735,48525.0,002022
207,2011-11-14,12.008,12.291,12.41,12.008,80444.0,002022
208,2011-11-15,12.273,12.291,12.428,12.118,67605.0,002022
209,2011-11-16,12.255,11.725,12.373,11.68,74188.0,002022
210,2011-11-17,11.762,11.735,11.935,11.57,70428.0,002022
211,2011-11-18,11.616,11.47,11.744,11.397,56413.0,002022
212,2011-11-21,11.452,11.57,11.643,11.297,34506.0,002022
