date,open,high,close,low,volume,amount
2017-01-23,3.72,3.76,3.71,3.69,78221626.0,291606367.0
2017-01-20,3.74,3.77,3.74,3.72,60314601.0,225501455.0
2017-01-19,3.8,3.85,3.75,3.73,91996313.0,348659085.0
2017-01-18,3.67,3.8,3.8,3.65,101225432.0,379449422.0
2017-01-17,3.67,3.67,3.65,3.6,58498779.0,213115416.0
2017-01-16,3.68,3.71,3.66,3.58,132522780.0,482398313.0
2017-01-13,3.52,3.62,3.57,3.49,51343971.0,182822176.0
2017-01-12,3.59,3.66,3.53,3.53,59977312.0,215136325.0
2017-01-11,3.65,3.76,3.6,3.6,108252585.0,399078113.0
2017-01-10,3.56,3.65,3.63,3.55,79917449.0,288575010.0
2017-01-09,3.52,3.59,3.56,3.51,31442642.0,111734232.0
2017-01-06,3.48,3.57,3.53,3.47,62009477.0,219306235.0
2017-01-05,3.45,3.5,3.48,3.44,34281728.0,119296209.0
2017-01-04,3.42,3.46,3.46,3.38,38483397.0,132203638.0
2017-01-03,3.41,3.43,3.42,3.37,23576136.0,80286059.0
2016-12-30,3.4,3.46,3.41,3.39,34821797.0,119119635.0
2016-12-29,3.39,3.41,3.39,3.35,24515176.0,82983018.0
2016-12-28,3.39,3.44,3.4,3.39,22482109.0,76674001.0
2016-12-27,3.39,3.4,3.39,3.37,21784487.0,73815399.0
2016-12-26,3.41,3.43,3.39,3.33,35578635.0,119863219.0
2016-12-23,3.4,3.47,3.44,3.37,43358638.0,148031272.0
2016-12-22,3.41,3.44,3.4,3.38,35469997.0,120879873.0
2016-12-21,3.38,3.46,3.42,3.37,35739273.0,121970792.0
2016-12-20,3.49,3.5,3.37,3.34,65231415.0,221310369.0
2016-12-19,3.49,3.56,3.49,3.46,50528575.0,177518554.0
2016-12-16,3.55,3.57,3.51,3.5,49325187.0,173943378.0
2016-12-15,3.57,3.63,3.58,3.5,84415876.0,299985573.0
2016-12-14,3.76,3.78,3.62,3.59,124085623.0,459382412.0
2016-12-13,3.61,3.81,3.79,3.59,156884910.0,587455449.0
2016-12-12,3.69,3.89,3.67,3.66,191880040.0,722456447.0
2016-12-09,3.54,3.76,3.68,3.47,208432062.0,753206855.0
2016-12-08,3.68,3.75,3.56,3.53,210285380.0,763696056.0
2016-11-30,3.49,3.5,3.42,3.39,83650067.0,287812511.0
2016-11-29,3.45,3.66,3.48,3.43,184551073.0,657088041.0
2016-11-28,3.43,3.5,3.45,3.41,116802735.0,403032119.0
2016-11-25,3.33,3.44,3.43,3.28,132122846.0,443353081.0
2016-11-24,3.28,3.33,3.32,3.27,68750691.0,227566856.0
2016-11-23,3.3,3.33,3.28,3.27,72025965.0,237774115.0
2016-11-22,3.24,3.32,3.29,3.23,91606956.0,301272929.0
2016-11-21,3.23,3.26,3.24,3.21,50842345.0,164632192.0
2016-11-18,3.22,3.29,3.23,3.2,67226269.0,218197835.0
2016-11-17,3.22,3.23,3.22,3.19,38096803.0,122129979.0
2016-11-16,3.23,3.24,3.24,3.2,48089779.0,154752809.0
2016-11-15,3.3,3.3,3.24,3.22,81801472.0,265864146.0
2016-11-14,3.2,3.37,3.3,3.19,189924035.0,622419759.0
2016-11-11,3.14,3.24,3.23,3.13,154350874.0,491965595.0
2016-11-10,3.12,3.15,3.14,3.11,58251722.0,182749487.0
2016-11-09,3.13,3.14,3.1,3.08,45344766.0,140754370.0
2016-11-08,3.15,3.17,3.13,3.12,50133017.0,157506512.0
2016-11-07,3.09,3.15,3.14,3.08,61978237.0,193611881.0
2016-11-04,3.08,3.11,3.09,3.07,37101135.0,114729446.0
2016-11-03,3.07,3.11,3.09,3.05,48103134.0,148331969.0
2016-11-02,3.13,3.13,3.08,3.07,53816092.0,166717423.0
2016-11-01,3.13,3.14,3.14,3.12,41204854.0,128852498.0
2016-10-31,3.16,3.16,3.13,3.12,47454168.0,148635973.0
2016-10-28,3.17,3.18,3.15,3.14,38942790.0,122895271.0
2016-10-27,3.18,3.19,3.17,3.15,35294695.0,111762239.0
2016-10-26,3.18,3.2,3.2,3.14,75093697.0,237533168.0
2016-10-25,3.19,3.23,3.18,3.17,98636503.0,315539521.0
2016-10-24,3.12,3.18,3.16,3.11,85536864.0,269940590.0
2016-10-21,3.15,3.16,3.13,3.11,56622219.0,177482340.0
2016-10-20,3.18,3.19,3.16,3.13,58897627.0,185896019.0
2016-10-19,3.21,3.27,3.19,3.18,82240143.0,265145965.0
2016-10-18,3.17,3.22,3.21,3.16,83291361.0,266176208.0
2016-10-17,3.18,3.22,3.2,3.14,74575724.0,237453089.0
2016-10-14,3.23,3.23,3.17,3.13,92782218.0,294683470.0
2016-10-13,3.22,3.26,3.24,3.19,89508901.0,288706495.0
2016-10-12,3.3,3.3,3.24,3.21,157148839.0,511857044.0
2016-10-11,3.34,3.34,3.34,3.15,352377360.0,1156838883.0
2016-10-10,3.04,3.04,3.04,3.04,3884596.0,11809172.0
2016-06-24,2.8,2.81,2.76,2.73,46789206.0,129558061.0
2016-06-23,2.81,2.82,2.81,2.79,27280154.0,76512447.0
2016-06-22,2.79,2.82,2.82,2.77,28164488.0,79014524.0
2016-06-21,2.83,2.84,2.79,2.77,33041252.0,92718609.0
2016-06-20,2.82,2.83,2.82,2.8,24434085.0,68746786.0
2016-06-17,2.81,2.88,2.84,2.8,38918801.0,110564458.0
2016-06-16,2.81,2.85,2.81,2.8,34373954.0,96803371.0
2016-06-15,2.77,2.83,2.83,2.76,42963778.0,120519807.0
2016-06-14,2.8,2.82,2.79,2.78,30757668.0,86017084.0
2016-06-13,2.86,2.87,2.81,2.8,40458558.0,115054650.0
2016-06-08,2.9,2.91,2.89,2.86,32187012.0,92973638.0
2016-06-07,2.92,2.93,2.9,2.89,30914729.0,89710022.0
2016-06-06,2.91,2.94,2.93,2.9,43934944.0,128064792.0
2016-06-03,2.93,2.93,2.92,2.88,45265476.0,131706079.0
2016-06-02,2.91,2.93,2.93,2.9,39792286.0,116114552.0
2016-06-01,2.91,2.95,2.92,2.9,54498500.0,159152060.0
2016-05-31,2.85,2.93,2.93,2.84,74412117.0,215643999.0
2016-05-30,2.85,2.86,2.84,2.82,46027131.0,130706754.0
2016-05-27,2.86,2.94,2.88,2.82,67963653.0,194863810.0
2016-05-26,2.87,2.88,2.86,2.82,38968804.0,111047435.0
2016-05-25,2.88,2.9,2.86,2.84,32629699.0,93626347.0
2016-05-24,2.89,2.9,2.86,2.83,35603016.0,101408845.0
2016-05-23,2.9,2.91,2.89,2.86,45608795.0,131613154.0
2016-05-20,2.84,2.87,2.86,2.81,30932906.0,87844181.0
2016-05-19,2.85,2.92,2.87,2.84,46478073.0,133665260.0
2016-05-18,2.9,2.91,2.85,2.81,43811717.0,125307208.0
2016-05-17,2.9,3.01,2.94,2.9,73015641.0,216345303.0
2016-05-16,2.93,2.93,2.91,2.86,42894444.0,123847057.0
2016-05-13,2.91,2.98,2.93,2.89,63263551.0,185927803.0
2016-05-12,2.86,2.99,2.93,2.81,57925240.0,167641186.0
2016-05-11,2.91,2.94,2.89,2.86,45580731.0,131727420.0
2016-05-10,2.88,2.91,2.9,2.84,68719028.0,197622467.0
2016-05-09,3.05,3.07,2.89,2.86,96844693.0,284942300.0
2016-05-06,3.24,3.24,3.1,3.09,79980842.0,252485652.0
2016-05-05,3.26,3.27,3.25,3.19,69661534.0,224566643.0
2016-05-04,3.31,3.33,3.28,3.25,90298147.0,295796676.0
2016-05-03,3.31,3.37,3.35,3.27,58853840.0,196003304.0
2016-04-29,3.3,3.38,3.31,3.27,38750808.0,128537890.0
2016-04-28,3.38,3.38,3.32,3.24,63823671.0,210764779.0
2016-04-27,3.44,3.44,3.39,3.35,39775898.0,134964224.0
2016-04-26,3.44,3.49,3.43,3.38,49849527.0,170354635.0
2016-04-25,3.39,3.56,3.46,3.34,73430552.0,254535798.0
2016-04-22,3.4,3.45,3.43,3.31,108474581.0,367151225.0
2016-04-21,3.48,3.62,3.51,3.47,158194581.0,561592634.0
2016-04-20,3.7,3.75,3.47,3.36,138372601.0,490799512.0
2016-04-19,3.6,3.62,3.6,3.48,111066639.0,393552032.0
2016-04-18,3.55,3.64,3.61,3.49,152313269.0,544524479.0
2016-04-15,3.57,3.57,3.55,3.47,115318021.0,405418839.0
2016-04-14,3.63,3.65,3.61,3.51,129526321.0,463240389.0
2016-04-13,3.61,3.78,3.64,3.58,309282427.0,1139159890.0
2016-04-12,3.53,3.8,3.58,3.44,354468895.0,1271217611.0
2016-04-11,3.25,3.49,3.49,3.25,166649741.0,574511557.0
2016-04-08,3.05,3.22,3.17,3.03,183153364.0,578850878.0
2016-04-07,3.07,3.18,3.08,3.06,133535865.0,415938522.0
2016-04-06,3.01,3.11,3.07,3.0,105576316.0,323556142.0
2016-04-05,2.99,3.06,3.03,2.95,98276418.0,295779051.0
2016-04-01,2.89,3.08,3.02,2.87,133455245.0,397862864.0
2016-03-31,2.91,2.92,2.91,2.87,41688759.0,120849151.0
2016-03-30,2.88,2.92,2.92,2.86,51226559.0,148139851.0
2016-03-29,2.91,2.93,2.86,2.83,48376267.0,138725311.0
2016-03-28,2.96,2.99,2.92,2.91,33538532.0,98880920.0
